trips,business_day,year,month,weekday
748,1,2013,8,4
714,1,2013,8,5
640,-1,2013,8,6
706,-1,2013,9,7
661,-1,2013,9,1
597,1,2013,9,2
606,1,2013,9,3
677,1,2013,9,4
814,1,2013,9,5
796,-1,2013,9,6
704,-1,2013,9,7
769,1,2013,9,1
892,1,2013,9,2
880,1,2013,9,3
942,1,2013,9,4
981,1,2013,9,5
702,-1,2013,9,6
624,-1,2013,9,7
914,1,2013,9,1
1073,1,2013,9,2
1110,1,2013,9,3
1044,1,2013,9,4
1102,1,2013,9,5
388,-1,2013,9,6
584,-1,2013,9,7
1050,1,2013,9,1
1075,1,2013,9,2
1264,1,2013,9,3
1082,1,2013,9,4
1101,1,2013,9,5
612,-1,2013,9,6
517,-1,2013,9,7
976,1,2013,9,1
1072,1,2013,10,2
1061,1,2013,10,3
1158,1,2013,10,4
1088,1,2013,10,5
716,-1,2013,10,6
606,-1,2013,10,7
964,1,2013,10,1
1018,1,2013,10,2
1069,1,2013,10,3
1086,1,2013,10,4
1014,1,2013,10,5
665,-1,2013,10,6
572,-1,2013,10,7
1050,-1,2013,10,1
1173,1,2013,10,2
1165,1,2013,10,3
1227,1,2013,10,4
1103,1,2013,10,5
635,-1,2013,10,6
452,-1,2013,10,7
1015,1,2013,10,1
1026,1,2013,10,2
1029,1,2013,10,3
1053,1,2013,10,4
1048,1,2013,10,5
501,-1,2013,10,6
292,-1,2013,10,7
967,1,2013,10,1
1008,1,2013,10,2
1122,1,2013,10,3
1150,1,2013,10,4
1120,1,2013,11,5
544,-1,2013,11,6
372,-1,2013,11,7
1128,1,2013,11,1
1158,1,2013,11,2
1085,1,2013,11,3
1197,1,2013,11,4
1172,1,2013,11,5
634,-1,2013,11,6
482,-1,2013,11,7
986,-1,2013,11,1
1154,1,2013,11,2
1002,1,2013,11,3
1115,1,2013,11,4
1131,1,2013,11,5
474,-1,2013,11,6
406,-1,2013,11,7
1008,1,2013,11,1
750,1,2013,11,2
625,1,2013,11,3
1102,1,2013,11,4
995,1,2013,11,5
525,-1,2013,11,6
348,-1,2013,11,7
1019,1,2013,11,1
1004,1,2013,11,2
720,1,2013,11,3
272,-1,2013,11,4
384,1,2013,11,5
307,-1,2013,11,6
329,-1,2013,12,7
878,1,2013,12,1
917,1,2013,12,2
992,1,2013,12,3
936,1,2013,12,4
727,1,2013,12,5
277,-1,2013,12,6
274,-1,2013,12,7
807,1,2013,12,1
878,1,2013,12,2
903,1,2013,12,3
966,1,2013,12,4
962,1,2013,12,5
392,-1,2013,12,6
319,-1,2013,12,7
946,1,2013,12,1
975,1,2013,12,2
928,1,2013,12,3
935,1,2013,12,4
867,1,2013,12,5
354,-1,2013,12,6
307,-1,2013,12,7
651,1,2013,12,1
336,1,2013,12,2
360,-1,2013,12,3
422,1,2013,12,4
425,1,2013,12,5
403,-1,2013,12,6
318,-1,2013,12,7
605,1,2013,12,1
505,1,2013,12,2
359,-1,2014,1,3
767,1,2014,1,4
779,1,2014,1,5
356,-1,2014,1,6
296,-1,2014,1,7
915,1,2014,1,1
967,1,2014,1,2
967,1,2014,1,3
980,1,2014,1,4
983,1,2014,1,5
247,-1,2014,1,6
351,-1,2014,1,7
1015,1,2014,1,1
1027,1,2014,1,2
1100,1,2014,1,3
1097,1,2014,1,4
1014,1,2014,1,5
443,-1,2014,1,6
397,-1,2014,1,7
615,-1,2014,1,1
1011,1,2014,1,2
1071,1,2014,1,3
1094,1,2014,1,4
1021,1,2014,1,5
444,-1,2014,1,6
390,-1,2014,1,7
959,1,2014,1,1
1026,1,2014,1,2
952,1,2014,1,3
946,1,2014,1,4
839,1,2014,1,5
383,-1,2014,2,6
128,-1,2014,2,7
962,1,2014,2,1
994,1,2014,2,2
862,1,2014,2,3
486,1,2014,2,4
466,1,2014,2,5
94,-1,2014,2,6
81,-1,2014,2,7
803,1,2014,2,1
939,1,2014,2,2
1015,1,2014,2,3
937,1,2014,2,4
958,1,2014,2,5
415,-1,2014,2,6
415,-1,2014,2,7
464,-1,2014,2,1
1013,1,2014,2,2
1012,1,2014,2,3
974,1,2014,2,4
937,1,2014,2,5
466,-1,2014,2,6
317,-1,2014,2,7
1011,1,2014,2,1
1090,1,2014,2,2
392,1,2014,2,3
872,1,2014,2,4
538,1,2014,2,5
318,-1,2014,3,6
208,-1,2014,3,7
746,1,2014,3,1
944,1,2014,3,2
979,1,2014,3,3
1015,1,2014,3,4
988,1,2014,3,5
468,-1,2014,3,6
548,-1,2014,3,7
980,1,2014,3,1
1112,1,2014,3,2
1044,1,2014,3,3
1133,1,2014,3,4
1022,1,2014,3,5
504,-1,2014,3,6
445,-1,2014,3,7
1002,1,2014,3,1
1139,1,2014,3,2
1161,1,2014,3,3
1127,1,2014,3,4
1010,1,2014,3,5
422,-1,2014,3,6
373,-1,2014,3,7
1012,1,2014,3,1
927,1,2014,3,2
716,1,2014,3,3
1071,1,2014,3,4
974,1,2014,3,5
117,-1,2014,3,6
391,-1,2014,3,7
697,1,2014,3,1
520,1,2014,4,2
987,1,2014,4,3
997,1,2014,4,4
844,1,2014,4,5
518,-1,2014,4,6
378,-1,2014,4,7
1123,1,2014,4,1
1268,1,2014,4,2
1119,1,2014,4,3
1033,1,2014,4,4
1013,1,2014,4,5
463,-1,2014,4,6
412,-1,2014,4,7
1046,1,2014,4,1
1163,1,2014,4,2
1223,1,2014,4,3
1145,1,2014,4,4
988,1,2014,4,5
421,-1,2014,4,6
376,-1,2014,4,7
1049,1,2014,4,1
1066,1,2014,4,2
1089,1,2014,4,3
1018,1,2014,4,4
599,1,2014,4,5
383,-1,2014,4,6
354,-1,2014,4,7
1177,1,2014,4,1
1227,1,2014,4,2
1222,1,2014,4,3
1185,1,2014,5,4
1037,1,2014,5,5
387,-1,2014,5,6
417,-1,2014,5,7
1156,1,2014,5,1
1129,1,2014,5,2
1173,1,2014,5,3
1052,1,2014,5,4
1046,1,2014,5,5
437,-1,2014,5,6
336,-1,2014,5,7
1180,1,2014,5,1
1235,1,2014,5,2
1182,1,2014,5,3
1207,1,2014,5,4
1142,1,2014,5,5
485,-1,2014,5,6
418,-1,2014,5,7
1111,1,2014,5,1
1123,1,2014,5,2
1103,1,2014,5,3
1216,1,2014,5,4
1092,1,2014,5,5
432,-1,2014,5,6
557,-1,2014,5,7
450,-1,2014,5,1
1204,1,2014,5,2
1278,1,2014,5,3
1209,1,2014,5,4
1074,1,2014,5,5
449,-1,2014,5,6
468,-1,2014,6,7
1291,1,2014,6,1
1324,1,2014,6,2
1298,1,2014,6,3
1219,1,2014,6,4
1161,1,2014,6,5
437,-1,2014,6,6
498,-1,2014,6,7
1294,1,2014,6,1
1256,1,2014,6,2
1280,1,2014,6,3
1175,1,2014,6,4
1163,1,2014,6,5
440,-1,2014,6,6
390,-1,2014,6,7
1269,1,2014,6,1
1216,1,2014,6,2
1259,1,2014,6,3
1237,1,2014,6,4
1151,1,2014,6,5
361,-1,2014,6,6
460,-1,2014,6,7
1188,1,2014,6,1
1334,1,2014,6,2
1225,1,2014,6,3
1294,1,2014,6,4
1137,1,2014,6,5
495,-1,2014,6,6
414,-1,2014,6,7
1248,1,2014,6,1
1211,1,2014,7,2
1245,1,2014,7,3
1026,1,2014,7,4
391,-1,2014,7,5
382,-1,2014,7,6
365,-1,2014,7,7
1210,1,2014,7,1
1201,1,2014,7,2
1347,1,2014,7,3
1224,1,2014,7,4
1076,1,2014,7,5
445,-1,2014,7,6
408,-1,2014,7,7
1220,1,2014,7,1
1300,1,2014,7,2
1311,1,2014,7,3
1299,1,2014,7,4
1160,1,2014,7,5
424,-1,2014,7,6
402,-1,2014,7,7
1224,1,2014,7,1
1326,1,2014,7,2
1366,1,2014,7,3
1299,1,2014,7,4
1204,1,2014,7,5
495,-1,2014,7,6
446,-1,2014,7,7
1293,1,2014,7,1
1368,1,2014,7,2
1351,1,2014,7,3
1260,1,2014,7,4
1162,1,2014,8,5
387,-1,2014,8,6
365,-1,2014,8,7
1169,1,2014,8,1
1313,1,2014,8,2
1254,1,2014,8,3
1256,1,2014,8,4
1170,1,2014,8,5
376,-1,2014,8,6
436,-1,2014,8,7
1234,1,2014,8,1
1380,1,2014,8,2
1247,1,2014,8,3
1251,1,2014,8,4
1179,1,2014,8,5
425,-1,2014,8,6
402,-1,2014,8,7
1277,1,2014,8,1
1279,1,2014,8,2
1327,1,2014,8,3
1352,1,2014,8,4
1235,1,2014,8,5
485,-1,2014,8,6
345,-1,2014,8,7
1371,1,2014,8,1
1513,1,2014,8,2
