trips,date
748,2013/8/29
714,2013/8/30
640,2013/8/31
706,2013/9/1
661,2013/9/2
597,2013/9/3
606,2013/9/4
677,2013/9/5
814,2013/9/6
796,2013/9/7
704,2013/9/8
769,2013/9/9
892,2013/9/10
880,2013/9/11
942,2013/9/12
981,2013/9/13
702,2013/9/14
624,2013/9/15
914,2013/9/16
1073,2013/9/17
1110,2013/9/18
1044,2013/9/19
1102,2013/9/20
388,2013/9/21
584,2013/9/22
1050,2013/9/23
1075,2013/9/24
1264,2013/9/25
1082,2013/9/26
1101,2013/9/27
612,2013/9/28
517,2013/9/29
976,2013/9/30
1072,2013/10/1
1061,2013/10/2
1158,2013/10/3
1088,2013/10/4
716,2013/10/5
606,2013/10/6
964,2013/10/7
1018,2013/10/8
1069,2013/10/9
1086,2013/10/10
1014,2013/10/11
665,2013/10/12
572,2013/10/13
1050,2013/10/14
1173,2013/10/15
1165,2013/10/16
1227,2013/10/17
1103,2013/10/18
635,2013/10/19
452,2013/10/20
1015,2013/10/21
1026,2013/10/22
1029,2013/10/23
1053,2013/10/24
1048,2013/10/25
501,2013/10/26
292,2013/10/27
967,2013/10/28
1008,2013/10/29
1122,2013/10/30
1150,2013/10/31
1120,2013/11/1
544,2013/11/2
372,2013/11/3
1128,2013/11/4
1158,2013/11/5
1085,2013/11/6
1197,2013/11/7
1172,2013/11/8
634,2013/11/9
482,2013/11/10
986,2013/11/11
1154,2013/11/12
1002,2013/11/13
1115,2013/11/14
1131,2013/11/15
474,2013/11/16
406,2013/11/17
1008,2013/11/18
750,2013/11/19
625,2013/11/20
1102,2013/11/21
995,2013/11/22
525,2013/11/23
348,2013/11/24
1019,2013/11/25
1004,2013/11/26
720,2013/11/27
272,2013/11/28
384,2013/11/29
307,2013/11/30
329,2013/12/1
878,2013/12/2
917,2013/12/3
992,2013/12/4
936,2013/12/5
727,2013/12/6
277,2013/12/7
274,2013/12/8
807,2013/12/9
878,2013/12/10
903,2013/12/11
966,2013/12/12
962,2013/12/13
392,2013/12/14
319,2013/12/15
946,2013/12/16
975,2013/12/17
928,2013/12/18
935,2013/12/19
867,2013/12/20
354,2013/12/21
307,2013/12/22
651,2013/12/23
336,2013/12/24
360,2013/12/25
422,2013/12/26
425,2013/12/27
403,2013/12/28
318,2013/12/29
605,2013/12/30
505,2013/12/31
359,2014/1/1
767,2014/1/2
779,2014/1/3
356,2014/1/4
