trips,date
748,2013-08-29
714,2013-08-30
640,2013-08-31
706,2013-09-01
661,2013-09-02
597,2013-09-03
606,2013-09-04
677,2013-09-05
814,2013-09-06
796,2013-09-07
704,2013-09-08
769,2013-09-09
892,2013-09-10
880,2013-09-11
942,2013-09-12
981,2013-09-13
702,2013-09-14
624,2013-09-15
914,2013-09-16
1073,2013-09-17
1110,2013-09-18
1044,2013-09-19
1102,2013-09-20
388,2013-09-21
584,2013-09-22
1050,2013-09-23
1075,2013-09-24
1264,2013-09-25
1082,2013-09-26
1101,2013-09-27
612,2013-09-28
517,2013-09-29
976,2013-09-30
1072,2013-10-01
1061,2013-10-02
1158,2013-10-03
1088,2013-10-04
716,2013-10-05
606,2013-10-06
964,2013-10-07
1018,2013-10-08
1069,2013-10-09
1086,2013-10-10
1014,2013-10-11
665,2013-10-12
572,2013-10-13
1050,2013-10-14
1173,2013-10-15
1165,2013-10-16
1227,2013-10-17
1103,2013-10-18
635,2013-10-19
452,2013-10-20
1015,2013-10-21
1026,2013-10-22
1029,2013-10-23
1053,2013-10-24
1048,2013-10-25
501,2013-10-26
292,2013-10-27
967,2013-10-28
1008,2013-10-29
1122,2013-10-30
1150,2013-10-31
1120,2013-11-01
544,2013-11-02
372,2013-11-03
1128,2013-11-04
1158,2013-11-05
1085,2013-11-06
1197,2013-11-07
1172,2013-11-08
634,2013-11-09
482,2013-11-10
986,2013-11-11
1154,2013-11-12
1002,2013-11-13
1115,2013-11-14
1131,2013-11-15
474,2013-11-16
406,2013-11-17
1008,2013-11-18
750,2013-11-19
625,2013-11-20
1102,2013-11-21
995,2013-11-22
525,2013-11-23
348,2013-11-24
1019,2013-11-25
1004,2013-11-26
720,2013-11-27
272,2013-11-28
384,2013-11-29
307,2013-11-30
329,2013-12-01
878,2013-12-02
917,2013-12-03
992,2013-12-04
936,2013-12-05
727,2013-12-06
277,2013-12-07
274,2013-12-08
807,2013-12-09
878,2013-12-10
903,2013-12-11
966,2013-12-12
962,2013-12-13
392,2013-12-14
319,2013-12-15
946,2013-12-16
975,2013-12-17
928,2013-12-18
935,2013-12-19
867,2013-12-20
354,2013-12-21
307,2013-12-22
651,2013-12-23
336,2013-12-24
360,2013-12-25
422,2013-12-26
425,2013-12-27
403,2013-12-28
318,2013-12-29
605,2013-12-30
505,2013-12-31
359,2014-01-01
767,2014-01-02
779,2014-01-03
356,2014-01-04
296,2014-01-05
915,2014-01-06
967,2014-01-07
967,2014-01-08
980,2014-01-09
983,2014-01-10
247,2014-01-11
351,2014-01-12
1015,2014-01-13
1027,2014-01-14
1100,2014-01-15
1097,2014-01-16
1014,2014-01-17
443,2014-01-18
397,2014-01-19
615,2014-01-20
1011,2014-01-21
1071,2014-01-22
1094,2014-01-23
1021,2014-01-24
444,2014-01-25
390,2014-01-26
959,2014-01-27
1026,2014-01-28
952,2014-01-29
946,2014-01-30
839,2014-01-31
383,2014-02-01
128,2014-02-02
962,2014-02-03
994,2014-02-04
862,2014-02-05
486,2014-02-06
466,2014-02-07
94,2014-02-08
81,2014-02-09
803,2014-02-10
939,2014-02-11
1015,2014-02-12
937,2014-02-13
958,2014-02-14
415,2014-02-15
415,2014-02-16
464,2014-02-17
1013,2014-02-18
1012,2014-02-19
974,2014-02-20
937,2014-02-21
466,2014-02-22
317,2014-02-23
1011,2014-02-24
1090,2014-02-25
392,2014-02-26
872,2014-02-27
538,2014-02-28
318,2014-03-01
208,2014-03-02
746,2014-03-03
944,2014-03-04
979,2014-03-05
1015,2014-03-06
988,2014-03-07
468,2014-03-08
548,2014-03-09
980,2014-03-10
1112,2014-03-11
1044,2014-03-12
1133,2014-03-13
1022,2014-03-14
504,2014-03-15
445,2014-03-16
1002,2014-03-17
1139,2014-03-18
1161,2014-03-19
1127,2014-03-20
1010,2014-03-21
422,2014-03-22
373,2014-03-23
1012,2014-03-24
927,2014-03-25
716,2014-03-26
1071,2014-03-27
974,2014-03-28
117,2014-03-29
391,2014-03-30
697,2014-03-31
520,2014-04-01
987,2014-04-02
997,2014-04-03
844,2014-04-04
518,2014-04-05
378,2014-04-06
1123,2014-04-07
1268,2014-04-08
1119,2014-04-09
1033,2014-04-10
1013,2014-04-11
463,2014-04-12
412,2014-04-13
1046,2014-04-14
1163,2014-04-15
1223,2014-04-16
1145,2014-04-17
988,2014-04-18
421,2014-04-19
376,2014-04-20
1049,2014-04-21
1066,2014-04-22
1089,2014-04-23
